Salinity (psu),Temperature (Â°C),Initial Polyps,End Polyps,Net Increase,Ammonia Nitrogen (mg/L),Oxygen Consumption,pH,Phosphate (mg/L),Nitrate (mg/L),Turbidity (NTU),Dissolved Oxygen (mg/L)
25,20,5.0,7.67,2.67,0.02,0.1,8.129288102356394,0.0698473974473511,0.3912968079654267,9.502020253446254,7.448382890889686
25,25,5.415562463153012,36.74663311677031,10.791694148351535,0.0756948843586338,2.274997821433291,8.378693860673659,0.0989158579451387,0.1224264988908122,2.484629812780816,7.049573853183615
25,20,9.605788051186,29.167632286939387,25.346534061773863,0.0593236325680746,2.8379582063628184,8.250506547377059,0.1080206046235211,0.3964823194906979,2.8437918596240115,5.7265248019681945
25,30,9.583614770097304,36.88115162527231,16.984494434696018,0.0239396724755135,2.3182439270908857,8.318568865611747,0.0822175223304375,0.2468702221333888,8.563856792818893,7.813979136538808
25,20,7.544844803335073,21.882948262700868,17.145495523904028,0.0727096640619021,0.7691527726797074,8.207454369376448,0.1166984908902724,0.2335035883402023,5.168351799911199,8.937317737392489
25,30,9.325512806526923,32.683200815951224,22.03949119610614,0.0851831529926091,0.148221123828215,7.960357522728887,0.1310997654403928,0.3431409336393171,7.340268325541446,8.332152390037564
25,25,7.825944333024377,22.998641859461323,14.425555977307791,0.0464477298622366,1.15993870816389,8.39543783933318,0.0905248407513516,0.4438154532086969,2.574179868785568,5.036960293946163
25,30,9.591177331810725,31.112118378697488,19.12901263316604,0.0236163897888443,1.318218572392771,7.830222034054526,0.1469325702570955,0.1628115081342726,7.0736261133582286,5.2521531586775065
25,25,9.402379446262977,27.0885521776992,23.42872601036004,0.0297769466896255,1.182543177271439,8.10001577863758,0.1345305930862177,0.0100271248638542,7.723715231253108,7.709053221353708
25,30,5.046783524282663,23.475932146551163,26.47177446319264,0.1366506841893318,1.5196919169841718,7.927434299334185,0.0810346338018522,0.1637092723289345,7.4987259616247375,8.150168623820104
25,25,5.099938327043794,17.94190492850349,15.00188472480472,0.0595665326917334,2.3592479568662035,8.07807058643069,0.0787741745543453,0.1223174683124239,2.3832487450701683,5.869801970822287
25,25,6.797222319846608,14.948213807256524,11.649423286162332,0.1456546471364383,0.5059204979302849,8.164951719512407,0.031088423561631,0.3264344532659306,2.933926630755204,5.182458548603545
25,25,5.0,7.67,2.67,0.03,0.2,8.229113619823451,0.1229242549507464,0.4363059526409414,5.696634895750645,7.467735987499028
25,30,5.0,7.33,5.33,0.02,0.3,8.161658025642986,0.0887563395678775,0.4895229876940544,4.731957459914712,8.774992314058498
30,25,9.897933644063642,26.584644396627144,9.493073372269254,0.0147075130898364,1.2930504988908182,8.366471850550539,0.1084708098550613,0.4531682380877234,6.816379935832163,7.9267750258587615
30,25,7.404467654180814,21.0942427824502,33.82415149767752,0.0549396137922896,0.196344917271914,8.157993243777032,0.0273343832528156,0.169094656312568,2.6781239754040467,5.836628117923365
30,20,5.0,12.33,7.33,0.14,2.5,8.126929909798138,0.0938457929422112,0.4015876964661946,3.381000508941643,7.727281196413934
30,25,5.0,38.33,33.33,0.12,2.4,8.054192879603344,0.1403275629780459,0.2361248875039366,7.96810320490795,6.438031602295144
30,30,5.0,9.33,4.33,0.14,2.6,8.187536467839994,0.0292346875657253,0.3924592963803632,5.105352989948937,6.748127815197366
35,20,7.208554606244227,21.93462258275887,23.964928760808025,0.0872542762786562,2.6083065572472286,8.324743774586999,0.146130768802493,0.4419768456131845,7.573979589101149,7.997017668252958
35,30,6.388592806405162,30.401667083902367,14.037715651188227,0.1277596181699839,1.084271076403604,8.132545461050665,0.1129106017108564,0.4413458255263522,2.123497517410774,7.32178854875252
35,20,5.0,13.67,8.67,0.14,2.1,8.062552326757615,0.0313268089612002,0.0679544686757772,6.115905539817836,7.79052478370906
35,20,6.084110688137715,18.65429311145586,8.838122799215215,0.1477659137909805,0.2467055336572879,8.219458844831108,0.1002955290924644,0.2184712535965662,3.492043757353819,7.222596971080581
35,25,5.0,39.33,34.33,0.16,2.6,8.335063800469248,0.0226283916672423,0.3235613004504867,1.1691082039271965,5.240901886517079
35,30,5.0,6.0,1.0,0.01,0.1,8.378197656300618,0.1282405799212319,0.0802431108304327,6.558719473682894,7.66706686178267
35,20,8.443305914028851,14.393252881873368,21.00781289233748,0.0409767759257295,2.9494673834930616,8.270186547181133,0.0834189015666653,0.2646584848925553,8.268222419729087,6.147660173202418
35,25,5.278573468508031,29.415224205626664,4.95086492682141,0.0244008702170813,1.5741148008787835,7.907694156550713,0.0484374185857803,0.4541448626594838,5.24576413803521,7.987976960798013
35,25,7.255796072604641,35.24158357592063,27.078805920996707,0.0229323445245257,0.583857787840649,7.902591959209879,0.0940445594947159,0.0772380058476253,7.404254353547325,5.370384660474054
35,25,9.211710398338656,39.35712785262151,30.867374469385428,0.0152583137359396,1.083056838661357,7.933465934632091,0.0792819010183227,0.4791509192728873,1.274076684474403,7.425901840274303
